Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
52,505,53,2025-02-11,10001,1,46225,W 128-115,*,39:59,12,16,0.75,1,3,0.333,11,13,0.846,0.781,5,7,0.714,2,8,10,5,2,0,3,4,30,27.5,15
53,506,54,2025-02-12,10001,0,30313,W 149-148 (OT),*,45:47,5,13,0.385,0,3,0.0,5,10,0.5,0.385,8,8,1.0,3,7,10,6,1,1,3,5,18,16.0,-6
54,507,57,2025-02-23,10001,1,02114,L 105-118,*,40:09,8,14,0.571,0,0,,8,14,0.571,0.571,4,4,1.0,2,9,11,9,0,0,2,2,20,21.0,-12
55,508,58,2025-02-26,10001,0,19148,W 110-105,*,38:36,3,5,0.6,0,0,,3,5,0.6,0.6,1,4,0.25,3,14,17,4,1,1,7,2,7,6.5,11
56,509,59,2025-02-28,10001,1,38103,W 114-113,*,28:39,2,6,0.333,1,2,0.5,1,4,0.25,0.417,7,8,0.875,0,4,4,6,1,1,3,5,12,10.3,-4
57,510,60,2025-03-02,10001,1,33132,W 116-112 (OT),*,43:06,7,12,0.583,0,2,0.0,7,10,0.7,0.583,0,0,,0,7,7,3,0,1,1,0,14,12.3,1
58,511,61,2025-03-04,10001,0,94607,L 102-114,*,33:05,1,8,0.125,0,4,0.0,1,4,0.25,0.125,0,0,,1,7,8,3,0,0,2,1,2,-0.7,-22
59,512,62,2025-03-06,10001,1,90015,L 109-113 (OT),*,43:53,6,13,0.462,2,6,0.333,4,7,0.571,0.538,4,7,0.571,5,5,10,2,4,0,3,4,18,15.9,-6
60,513,63,2025-03-07,10001,1,90015,L 95-105,*,45:51,6,13,0.462,1,4,0.25,5,9,0.556,0.5,1,2,0.5,2,18,20,6,0,0,2,2,14,15.1,-6
61,514,64,2025-03-10,10001,1,95814,W 133-104,*,31:00,6,11,0.545,4,6,0.667,2,5,0.4,0.727,2,2,1.0,0,6,6,3,0,0,3,2,18,12.8,29
62,515,65,2025-03-12,10001,1,97227,W 114-113 (OT),*,42:10,4,14,0.286,2,6,0.333,2,8,0.25,0.357,1,2,0.5,3,8,11,9,1,0,3,2,11,10.4,3
63,516,66,2025-03-15,10001,1,94607,L 94-97,*,38:31,0,7,0.0,0,2,0.0,0,5,0.0,0.0,0,0,,1,6,7,7,1,1,2,0,0,2.2,-5
64,517,67,2025-03-17,10001,0,33132,W 116-95,*,29:17,5,9,0.556,2,5,0.4,3,4,0.75,0.667,0,0,,2,11,13,11,4,1,2,0,12,22.8,31
