Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
35,302.0,35,2025-01-03,02114,1,77002,W 109-86,,32:14,8,10,.800,4,6,.667,4,4,1.000,1.000,0,0,,1,3,4,2,0,1,0,1,20,19.5,21
36,303.0,36,2025-01-05,02114,1,73102,L 92-105,,10:53,0,5,.000,0,3,.000,0,2,.000,.000,0,0,,1,0,1,1,0,0,0,1,0,-2.5,-3
37,304.0,37,2025-01-07,02114,1,80204,W 118-106,,19:34,1,6,.167,1,5,.200,0,1,.000,.250,0,0,,2,1,3,4,1,0,2,0,3,2.7,-4
38,305.0,38,2025-01-10,02114,0,95814,L 97-114,,27:27,4,11,.364,1,7,.143,3,4,.750,.409,0,0,,1,1,2,2,1,0,1,3,9,4.1,-8
39,306.0,39,2025-01-12,02114,0,70112,W 120-119,,23:50,4,10,.400,3,8,.375,1,2,.500,.550,0,0,,0,1,1,4,0,0,0,1,11,8.3,12
40,307.0,40,2025-01-15,02114,1,51300,L 97-110,,30:51,7,11,.636,4,8,.500,3,3,1.000,.818,2,3,.667,2,0,2,4,1,0,0,3,20,18.7,6
41,308.0,41,2025-01-17,02114,0,32801,W 121-94,,20:55,2,3,.667,0,0,,2,3,.667,.667,0,0,,2,0,2,3,0,0,4,3,4,1.0,4
42,309.0,42,2025-01-18,02114,0,30313,L 115-119 (OT),,32:56,7,12,.583,4,8,.500,3,4,.750,.750,2,2,1.000,1,5,6,1,0,0,0,2,20,16.5,-6
43,310.0,43,2025-01-20,02114,1,94607,W 125-85,,21:48,5,10,.500,2,6,.333,3,4,.750,.600,2,2,1.000,1,1,2,9,1,1,0,1,14,17.6,24
44,311.0,44,2025-01-22,02114,1,90015,W 117-113 (OT),,27:40,4,11,.364,1,7,.143,3,4,.750,.409,0,0,,2,2,4,3,0,0,3,0,9,4.0,10
45,312.0,45,2025-01-23,02114,1,90015,L 96-117,,24:14,2,12,.167,1,5,.200,1,7,.143,.208,2,2,1.000,0,2,2,2,0,1,0,0,7,2.1,-17
46,313.0,46,2025-01-25,02114,1,75219,W 122-107,,26:34,2,4,.500,2,4,.500,0,0,,.750,0,0,,3,6,9,4,1,0,0,2,6,10.9,21
47,314.0,47,2025-01-27,02114,0,77002,L 112-114,,30:36,5,7,.714,5,6,.833,0,1,.000,1.071,0,0,,0,4,4,3,1,0,0,1,15,16.0,-7
