Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
51,51,51,2019-01-28,LAC,,ATL,L 118-123,*,24:27,5,7,.714,1,2,.500,4,5,.800,.786,0,0,,1,1,2,2,2,0,2,4,11,8.9,-6
52,52,52,2019-01-31,LAC,,LAL,L 120-123 (OT),*,21:12,4,12,.333,1,4,.250,3,8,.375,.375,1,2,.500,0,2,2,3,2,0,0,3,10,6.3,-12
53,53,53,2019-02-02,LAC,@,DET,W 111-101,*,30:01,4,9,.444,1,3,.333,3,6,.500,.500,5,8,.625,1,6,7,5,3,1,2,4,14,14.2,9
54,54,54,2019-02-03,LAC,@,TOR,L 103-121,*,26:11,9,15,.600,0,0,,9,15,.600,.600,1,2,.500,1,4,5,3,1,2,1,0,19,17.1,-12
55,55,55,2019-02-05,LAC,@,CHO,W 117-115,*,17:39,2,8,.250,0,0,,2,8,.250,.250,2,2,1.000,2,0,2,3,0,0,0,0,6,4.7,-18
56,56,56,2019-02-07,LAC,@,IND,L 92-116,*,26:00,2,4,.500,0,1,.000,2,3,.667,.500,4,4,1.000,1,0,1,6,0,1,5,4,8,5.0,-9
57,57,57,2019-02-09,LAC,@,BOS,W 123-112,*,25:49,5,8,.625,1,2,.500,4,6,.667,.688,3,4,.750,1,3,4,5,2,1,5,3,14,11.6,11
58,58,58,2019-02-11,LAC,@,MIN,L 120-130,*,22:00,4,8,.500,2,3,.667,2,5,.400,.625,0,0,,0,1,1,1,1,0,3,2,10,4.2,-17
59,59,59,2019-02-13,LAC,,PHO,W 134-107,*,21:38,4,7,.571,0,1,.000,4,6,.667,.571,2,4,.500,1,3,4,3,2,1,1,1,10,10.9,20
60,60,60,2019-02-22,LAC,@,MEM,W 112-106,*,15:21,1,4,.250,0,0,,1,4,.250,.250,4,4,1.000,0,2,2,4,1,0,3,2,6,4.2,-2
61,61,61,2019-02-24,LAC,@,DEN,L 96-123,*,29:49,0,9,.000,0,3,.000,0,6,.000,.000,1,2,.500,0,1,1,4,2,1,4,2,1,-4.7,-24
62,62,62,2019-02-25,LAC,,DAL,W 121-112,*,17:25,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,2,2,0,2,0,0,0,0,-0.2,-8
63,63,63,2019-02-27,LAC,@,UTA,L 105-111,*,19:20,6,8,.750,1,2,.500,5,6,.833,.813,0,0,,0,1,1,1,1,1,0,5,13,10.5,-1
64,64,64,2019-03-01,LAC,@,SAC,W 116-109,*,32:23,6,13,.462,3,3,1.000,3,10,.300,.577,0,0,,2,4,6,1,1,0,1,4,15,10.0,0
65,65,65,2019-03-03,LAC,,NYK,W 128-107,*,29:13,6,9,.667,2,3,.667,4,6,.667,.778,1,1,1.000,0,3,3,4,1,0,1,3,15,13.6,19
66,66,66,2019-03-04,LAC,@,LAL,W 113-105,*,24:06,5,9,.556,1,2,.500,4,7,.571,.611,3,3,1.000,0,1,1,4,0,2,0,1,14,13.8,-1
67,67,67,2019-03-08,LAC,,OKC,W 118-110,*,25:37,3,7,.429,1,2,.500,2,5,.400,.500,2,2,1.000,0,1,1,1,1,0,1,4,9,4.7,-4
68,68,68,2019-03-11,LAC,,BOS,W 140-115,*,21:54,4,7,.571,1,1,1.000,3,6,.500,.643,3,3,1.000,2,3,5,3,1,0,4,1,12,9.7,1
69,69,69,2019-03-12,LAC,,POR,L 104-125,*,26:56,6,11,.545,1,1,1.000,5,10,.500,.591,2,4,.500,1,1,2,4,2,0,3,3,15,10.5,-12
70,70,70,2019-03-15,LAC,,CHI,W 128-121,*,29:54,7,12,.583,1,2,.500,6,10,.600,.625,2,4,.500,1,6,7,7,3,1,1,3,17,19.5,18
71,71,71,2019-03-17,LAC,,BRK,W 119-116,*,35:34,5,12,.417,3,5,.600,2,7,.286,.542,1,2,.500,0,2,2,10,0,0,2,3,14,11.6,18
72,72,72,2019-03-19,LAC,,IND,W 115-109,*,28:35,6,9,.667,1,2,.500,5,7,.714,.722,4,6,.667,0,3,3,3,2,0,0,1,17,16.9,6
73,73,73,2019-03-22,LAC,@,CLE,W 110-108,*,34:32,5,11,.455,1,1,1.000,4,10,.400,.500,5,5,1.000,1,1,2,5,2,0,1,2,16,15.0,4
74,74,74,2019-03-24,LAC,@,NYK,W 124-113,*,37:44,3,10,.300,0,4,.000,3,6,.500,.300,4,4,1.000,0,2,2,8,1,1,1,3,10,9.9,6
75,75,75,2019-03-26,LAC,@,MIN,W 122-111,*,30:46,4,8,.500,0,1,.000,4,7,.571,.500,2,2,1.000,1,3,4,4,1,0,0,3,10,10.2,8
76,76,76,2019-03-28,LAC,@,MIL,L 118-128,*,31:46,8,15,.533,1,2,.500,7,13,.538,.567,4,5,.800,1,5,6,2,1,2,3,2,21,15.5,-16
