Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
16,223,16,2024-11-23,LAL,,DEN,L 102-127,*,31:51,7,13,.538,3,7,.429,4,6,.667,.654,2,2,1.000,1,2,3,6,1,0,3,1,19,15.8,-22
17,224,17,2024-11-26,LAL,@,PHO,L 100-127,*,30:36,6,12,.500,2,6,.333,4,6,.667,.583,1,1,1.000,1,2,3,2,2,0,1,0,15,12.7,-16
18,225,18,2024-11-27,LAL,@,SAS,W 119-101,*,31:27,5,11,.455,3,6,.500,2,5,.400,.591,0,0,,0,2,2,2,0,0,3,1,13,5.9,8
19,226,19,2024-11-29,LAL,,OKC,L 93-101,*,29:11,3,11,.273,1,9,.111,2,2,1.000,.318,4,5,.800,1,4,5,3,0,0,5,3,11,1.9,-8
20,227,25,2024-12-13,LAL,@,MIN,L 87-97,*,29:40,6,16,.375,4,8,.500,2,8,.250,.500,2,2,1.000,2,4,6,6,0,0,2,5,18,12.0,-2
21,228,26,2024-12-15,LAL,,MEM,W 116-110,*,35:46,6,15,.400,2,8,.250,4,7,.571,.467,5,5,1.000,0,2,2,8,2,0,1,4,19,16.5,11
22,229,27,2024-12-19,LAL,@,SAC,W 113-100,*,34:55,7,14,.500,3,7,.429,4,7,.571,.607,8,9,.889,0,6,6,5,2,0,1,0,25,23.9,9
23,230,28,2024-12-21,LAL,@,SAC,W 103-99,*,35:56,6,14,.429,1,7,.143,5,7,.714,.464,3,5,.600,2,2,4,5,0,0,2,1,16,10.9,10
24,231,29,2024-12-23,LAL,,DET,L 114-117,*,36:53,5,9,.556,2,5,.400,3,4,.750,.667,0,0,,0,7,7,2,2,0,6,2,12,6.4,16
25,232,30,2024-12-25,LAL,@,GSW,W 115-113,*,36:40,8,20,.400,4,10,.400,4,10,.400,.500,6,6,1.000,2,8,10,10,1,0,3,0,26,24.0,-4
26,233,31,2024-12-28,LAL,,SAC,W 132-122,*,42:36,9,16,.563,3,4,.750,6,12,.500,.656,5,8,.625,1,5,6,16,0,0,5,3,26,24.4,15
27,234,32,2024-12-31,LAL,,CLE,L 110-122,*,37:57,11,20,.550,1,4,.250,10,16,.625,.575,12,13,.923,1,8,9,10,1,0,4,2,35,31.3,-3
28,235,33,2025-01-02,LAL,,POR,W 114-106,*,36:26,5,15,.333,2,9,.222,3,6,.500,.400,3,3,1.000,2,6,8,11,2,0,3,3,15,15.2,10
29,236,34,2025-01-03,LAL,,ATL,W 119-102,*,38:39,6,18,.333,3,7,.429,3,11,.273,.417,5,6,.833,4,3,7,6,0,0,6,1,20,10.9,18
30,237,35,2025-01-05,LAL,@,HOU,L 115-119,*,41:19,6,13,.462,3,6,.500,3,7,.429,.577,6,7,.857,0,0,0,10,0,0,0,2,21,20.1,12
31,238,36,2025-01-07,LAL,@,DAL,L 97-118,*,32:05,5,14,.357,4,11,.364,1,3,.333,.500,1,2,.500,0,2,2,1,3,0,1,1,15,9.7,-25
32,239,37,2025-01-13,LAL,,SAS,L 102-126,*,33:29,4,13,.308,2,7,.286,2,6,.333,.385,2,2,1.000,1,4,5,8,0,0,4,3,12,6.8,-18
33,240,38,2025-01-15,LAL,,MIA,W 117-108,*,35:14,5,9,.556,2,3,.667,3,6,.500,.667,2,2,1.000,0,3,3,14,3,0,1,4,14,20.8,14
