Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
54,356,56,2025-02-13,55403,0,73102,W 116-101,*,36:17,5,18,0.278,3,12,0.25,2,6,0.333,0.361,10,11,0.909,1,6,7,7,3,0,2,0,23,20.4,10.0
55,357,57,2025-02-21,55403,1,77002,L 115-121,*,39:16,13,32,0.406,4,14,0.286,9,18,0.5,0.469,7,10,0.7,0,4,4,3,0,1,3,2,37,18.8,-11.0
56,358,58,2025-02-23,55403,0,73102,L 123-130,*,38:38,8,21,0.381,4,13,0.308,4,8,0.5,0.476,9,10,0.9,2,8,10,7,2,0,5,3,29,21.6,-11.0
57,359,59,2025-02-24,55403,1,73102,W 131-128 (OT),*,35:43,5,15,0.333,1,6,0.167,4,9,0.444,0.367,6,10,0.6,2,11,13,8,0,1,4,4,17,12.3,-7.0
58,360,60,2025-02-27,55403,1,90015,L 102-111,*,26:07,6,12,0.5,2,6,0.333,4,6,0.667,0.583,4,4,1.0,0,6,6,5,1,0,0,1,18,17.9,-13.0
59,361,62,2025-03-02,55403,1,85004,W 116-98,*,36:16,12,22,0.545,6,14,0.429,6,8,0.75,0.682,14,14,1.0,0,5,5,7,2,0,1,0,44,40.8,22.0
60,362,63,2025-03-04,55403,0,19148,W 126-112,*,29:54,5,11,0.455,2,6,0.333,3,5,0.6,0.545,6,7,0.857,0,5,5,1,0,0,2,2,18,11.3,-3.0
61,363,64,2025-03-05,55403,1,28202,W 125-110,*,38:13,9,20,0.45,6,13,0.462,3,7,0.429,0.6,5,8,0.625,0,3,3,6,2,1,0,2,29,24.4,12.0
62,364,65,2025-03-07,55403,1,33132,W 106-104,*,38:52,4,10,0.4,3,8,0.375,1,2,0.5,0.55,2,4,0.5,1,12,13,6,0,0,2,1,13,12.9,0.0
63,365,66,2025-03-09,55403,0,78219,W 141-124,*,30:12,10,15,0.667,2,5,0.4,8,10,0.8,0.733,3,3,1.0,1,2,3,3,1,0,3,0,25,19.9,11.0
64,366,67,2025-03-12,55403,1,80204,W 115-95,*,34:40,10,22,0.455,5,12,0.417,5,10,0.5,0.568,4,5,0.8,0,4,4,6,1,0,3,2,29,19.8,10.0
65,367,68,2025-03-14,55403,0,32801,W 118-111,*,39:02,9,19,0.474,3,8,0.375,6,11,0.545,0.553,7,8,0.875,0,4,4,5,0,1,3,2,28,19.5,-5.0
66,368,69,2025-03-16,55403,0,84101,W 128-102,*,30:36,16,27,0.593,5,14,0.357,11,13,0.846,0.685,4,6,0.667,0,2,2,2,1,0,1,1,41,29.3,31.0
67,369,70,2025-03-17,55403,0,46225,L 130-132 (OT),*,41:07,9,24,0.375,1,11,0.091,8,13,0.615,0.396,19,20,0.95,0,3,3,5,2,2,3,3,38,28.0,-7.0
68,370,71,2025-03-19,55403,0,70112,L 115-119,*,37:43,5,19,0.263,4,10,0.4,1,9,0.111,0.368,15,17,0.882,2,4,6,4,1,1,2,0,29,22.0,-6.0
69,371,72,2025-03-21,55403,0,70112,W 134-93,*,25:34,6,13,0.462,3,7,0.429,3,6,0.5,0.577,2,2,1.0,2,1,3,5,2,0,3,0,17,14.5,21.0
70,372,73,2025-03-24,55403,1,46225,L 103-119,*,34:11,7,19,0.368,1,11,0.091,6,8,0.75,0.395,2,3,0.667,0,2,2,4,1,0,3,2,17,6.7,-24.0
71,373,74,2025-03-28,55403,0,85004,W 124-109,*,27:38,8,19,0.421,4,10,0.4,4,9,0.444,0.526,0,0,,3,1,4,5,1,0,2,1,20,14.4,9.0
72,374,75,2025-03-30,55403,0,48226,W 123-104,*,36:13,9,19,0.474,4,10,0.4,5,9,0.556,0.579,3,4,0.75,0,6,6,4,0,2,4,4,25,15.3,5.0
73,375,76,2025-04-01,55403,1,80204,W 140-139 (2OT),*,50:29,12,25,0.48,5,15,0.333,7,10,0.7,0.58,5,7,0.714,1,9,10,8,1,0,5,4,34,23.9,8.0
74,376,77,2025-04-03,55403,1,11217,W 105-90,*,32:00,10,15,0.667,5,10,0.5,5,5,1.0,0.833,3,5,0.6,1,4,5,3,2,1,2,3,28,24.2,17.0
75,377,78,2025-04-05,55403,1,19148,W 114-109,*,38:12,12,21,0.571,6,13,0.462,6,8,0.75,0.714,7,8,0.875,1,1,2,2,1,1,2,1,37,28.4,-4.0
76,378,79,2025-04-08,55403,1,53203,L 103-110,*,39:01,10,27,0.37,2,11,0.182,8,16,0.5,0.407,3,3,1.0,1,6,7,4,1,1,2,4,25,13.5,-4.0
77,379,80,2025-04-10,55403,1,38103,W 141-125,*,37:46,13,19,0.684,7,11,0.636,6,8,0.75,0.868,11,13,0.846,1,4,5,3,1,1,5,3,44,34.6,15.0
78,380,81,2025-04-11,55403,0,11217,W 117-91,*,30:31,4,11,0.364,1,7,0.143,3,4,0.75,0.409,0,0,,0,4,4,5,1,2,0,3,9,8.8,16.0
79,381,82,2025-04-13,55403,0,84101,W 116-105,*,40:15,15,31,0.484,7,18,0.389,8,13,0.615,0.597,6,7,0.857,0,6,6,5,3,1,2,1,43,33.5,20.0
