Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
40,203,40,2019-01-10,80204,0,90015,W 121-100,*,32:10,10,16,0.625,2,4,0.5,8,12,0.667,0.688,1,1,1.0,2,4,6,2,0,0,4,2,23,15.0,19
41,204,41,2019-01-12,80204,1,85004,L 93-102,*,33:44,4,17,0.235,2,6,0.333,2,11,0.182,0.294,2,3,0.667,3,6,9,5,3,0,4,2,12,6.9,3
42,205,42,2019-01-13,80204,0,97227,W 116-113,*,33:25,9,18,0.5,1,5,0.2,8,13,0.615,0.528,5,5,1.0,0,4,4,3,1,0,2,3,24,16.1,-4
43,206,43,2019-01-15,80204,0,94607,L 111-142,*,31:09,8,16,0.5,4,7,0.571,4,9,0.444,0.625,1,1,1.0,0,3,3,4,0,1,0,1,21,17.0,-21
44,207,44,2019-01-17,80204,0,60612,W 135-105,*,29:04,8,16,0.5,7,11,0.636,1,5,0.2,0.719,2,2,1.0,1,1,2,5,0,0,1,2,25,19.7,27
45,208,45,2019-01-19,80204,0,44115,W 124-102,*,24:56,8,14,0.571,4,7,0.571,4,7,0.571,0.714,6,6,1.0,0,2,2,5,0,0,2,2,26,20.7,18
46,209,46,2019-01-23,80204,1,84101,L 108-114,*,28:27,3,11,0.273,1,2,0.5,2,9,0.222,0.318,2,3,0.667,0,0,0,3,0,0,2,4,9,0.6,-20
47,210,47,2019-01-25,80204,0,85004,W 132-95,*,23:17,5,9,0.556,3,5,0.6,2,4,0.5,0.722,0,0,,1,1,2,5,0,0,0,2,13,12.4,17
48,211,54,2019-02-06,80204,1,11217,L 130-135,*,31:56,8,17,0.471,2,4,0.5,6,13,0.462,0.529,1,1,1.0,1,2,3,11,1,0,2,2,19,17.5,-4
49,212,55,2019-02-08,80204,1,19148,L 110-117,*,35:41,9,20,0.45,2,8,0.25,7,12,0.583,0.5,3,3,1.0,1,4,5,6,0,1,1,0,23,18.4,0
50,213,56,2019-02-11,80204,0,33132,W 103-87,*,33:40,3,12,0.25,3,6,0.5,0,6,0.0,0.375,1,1,1.0,0,1,1,5,3,0,4,3,10,4.4,20
51,214,57,2019-02-13,80204,0,95814,W 120-118,*,31:14,3,8,0.375,2,5,0.4,1,3,0.333,0.5,2,2,1.0,0,2,2,4,0,0,3,3,10,4.8,-6
