Rk,Gcar,Gtm,Date,Team,AWAY,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
65,504,69,2024-03-20,2114,0,53203,W 122-119,*,39:20,9,19,0.474,4,7,0.571,5,12,0.417,0.579,9,10,0.9,0,8,8,4,3,2,2,2,31,27.7,2
66,505,71,2024-03-23,2114,1,60612,W 124-113,*,37:24,8,20,0.4,2,7,0.286,6,13,0.462,0.45,8,9,0.889,1,1,2,6,1,1,5,1,26,16.3,5
67,506,72,2024-03-25,2114,1,30313,L 118-120,*,39:23,13,26,0.5,2,7,0.286,11,19,0.579,0.538,9,11,0.818,2,6,8,5,2,1,2,1,37,30.2,3
68,507,73,2024-03-28,2114,1,30313,L 122-123 (OT),*,45:14,9,22,0.409,2,7,0.286,7,15,0.467,0.455,11,13,0.846,3,10,13,6,0,0,2,3,31,24.5,-11
69,508,74,2024-03-30,2114,1,70112,W 104-92,*,35:30,10,17,0.588,3,6,0.5,7,11,0.636,0.676,0,0,,1,8,9,4,0,0,4,1,23,16.6,8
70,509,75,2024-04-01,2114,1,28202,W 118-104,*,34:23,9,19,0.474,4,10,0.4,5,9,0.556,0.579,3,3,1.0,0,10,10,4,2,1,4,2,25,19.0,14
71,510,76,2024-04-03,2114,0,73102,W 135-100,*,28:54,7,15,0.467,2,5,0.4,5,10,0.5,0.533,8,8,1.0,3,4,7,3,1,0,0,2,24,21.9,14
72,511,77,2024-04-05,2114,0,95814,W 101-100,*,32:30,5,15,0.333,1,6,0.167,4,9,0.444,0.367,6,8,0.75,0,6,6,5,0,0,3,0,17,10.0,14
73,512,79,2024-04-09,2114,1,53203,L 91-104,*,37:26,9,19,0.474,4,9,0.444,5,10,0.5,0.579,0,0,,0,5,5,6,0,1,2,1,22,16.3,-11
74,513,80,2024-04-11,2114,0,10001,L 109-118,*,31:48,5,13,0.385,1,7,0.143,4,6,0.667,0.423,7,9,0.778,1,3,4,7,2,1,2,3,18,16.1,-30
1,514,1,2024-10-22,2114,0,10001,W 132-109,*,30:18,14,18,0.778,8,11,0.727,6,7,0.857,1.0,1,2,0.5,0,4,4,10,1,1,1,1,37,38.1,26
2,515,2,2024-10-24,2114,1,20004,W 122-102,*,28:39,9,20,0.45,3,11,0.273,6,9,0.667,0.525,4,7,0.571,2,9,11,6,1,0,1,1,25,21.3,14
3,516,3,2024-10-26,2114,1,48226,W 124-118,*,38:08,12,26,0.462,6,13,0.462,6,13,0.462,0.577,7,9,0.778,1,3,4,2,2,1,1,5,37,25.5,1
4,517,4,2024-10-28,2114,0,53203,W 119-108,*,36:25,6,16,0.375,1,8,0.125,5,8,0.625,0.406,2,2,1.0,0,8,8,4,2,1,3,5,15,9.1,18
5,518,5,2024-10-30,2114,1,46225,L 132-135 (OT),*,43:22,10,25,0.4,5,18,0.278,5,7,0.714,0.5,12,15,0.8,1,7,8,4,4,0,3,3,37,27.7,-7
6,519,6,2024-11-01,2114,1,28202,W 124-109,*,35:38,9,19,0.474,3,9,0.333,6,10,0.6,0.553,11,13,0.846,1,10,11,3,3,1,5,1,32,25.6,16
7,520,7,2024-11-02,2114,1,28202,W 113-103,*,33:44,7,15,0.467,1,9,0.111,6,6,1.0,0.5,14,17,0.824,0,7,7,3,0,0,5,3,29,18.1,4
8,521,8,2024-11-04,2114,1,30313,W 123-93,*,30:29,10,21,0.476,6,14,0.429,4,7,0.571,0.619,2,3,0.667,0,6,6,9,2,0,1,0,28,26.0,27
9,522,9,2024-11-06,2114,0,94607,L 112-118,*,36:45,10,20,0.5,5,10,0.5,5,10,0.5,0.625,7,9,0.778,0,4,4,2,1,1,4,3,32,20.3,-5
10,523,10,2024-11-08,2114,0,11217,W 108-104 (OT),*,42:21,11,25,0.44,5,13,0.385,6,12,0.5,0.54,6,7,0.857,0,9,9,6,2,1,3,3,33,24.9,10
11,524,11,2024-11-10,2114,1,53203,W 113-107,*,40:12,7,21,0.333,4,12,0.333,3,9,0.333,0.429,13,15,0.867,0,12,12,6,0,0,5,3,31,19.9,9
12,525,12,2024-11-12,2114,0,30313,L 116-117,*,37:26,5,16,0.313,2,9,0.222,3,7,0.429,0.375,8,8,1.0,0,6,6,8,1,2,5,3,20,14.4,4
13,526,13,2024-11-13,2114,1,11217,W 139-114,*,35:23,12,19,0.632,5,6,0.833,7,13,0.538,0.763,7,9,0.778,1,8,9,10,0,0,1,3,36,34.6,24
14,527,14,2024-11-16,2114,0,51300,W 126-123 (OT),*,41:39,7,19,0.368,5,12,0.417,2,7,0.286,0.5,5,5,1.0,0,11,11,9,0,0,2,3,24,19.9,1
15,528,15,2024-11-19,2114,0,44115,W 120-117,*,37:38,11,22,0.5,6,10,0.6,5,12,0.417,0.636,5,7,0.714,0,12,12,7,2,0,4,3,33,26.5,2
16,529,16,2024-11-22,2114,1,20004,W 108-96,*,37:14,6,19,0.316,0,10,0.0,6,9,0.667,0.316,4,6,0.667,1,8,9,8,2,0,3,2,16,11.2,20
17,530,17,2024-11-24,2114,0,55403,W 107-105,*,38:25,8,21,0.381,5,12,0.417,3,9,0.333,0.5,5,6,0.833,0,8,8,4,2,0,1,4,26,18.7,7
18,531,18,2024-11-25,2114,0,90015,W 126-94,*,30:26,7,15,0.467,2,6,0.333,5,9,0.556,0.533,4,6,0.667,1,8,9,4,0,2,3,1,20,15.4,15
19,532,19,2024-11-29,2114,1,60612,W 138-129,*,35:43,12,18,0.667,4,8,0.5,8,10,0.8,0.778,7,10,0.7,1,13,14,5,1,1,3,0,35,32.8,13
20,533,20,2024-12-01,2114,1,44115,L 111-115,*,37:48,12,27,0.444,4,9,0.444,8,18,0.444,0.519,5,5,1.0,0,8,8,4,1,1,2,2,33,23.0,1
21,534,21,2024-12-02,2114,0,33132,W 108-89,*,36:06,7,21,0.333,3,12,0.25,4,9,0.444,0.405,1,1,1.0,1,10,11,4,1,0,6,2,18,6.8,13
22,535,23,2024-12-06,2114,0,53203,W 111-105,*,37:03,12,20,0.6,4,10,0.4,8,10,0.8,0.7,6,8,0.75,1,9,10,5,0,0,1,4,34,28.3,14
23,536,24,2024-12-07,2114,0,38103,L 121-127,*,37:44,6,21,0.286,1,10,0.1,5,11,0.455,0.31,4,5,0.8,1,12,13,9,0,0,1,2,17,13.1,-3
24,537,26,2024-12-15,2114,1,20004,W 112-98,*,34:53,12,26,0.462,2,9,0.222,10,17,0.588,0.5,2,2,1.0,1,11,12,2,0,0,4,4,28,14.4,4
25,538,27,2024-12-19,2114,0,60612,L 108-117,*,37:03,10,22,0.455,4,11,0.364,6,11,0.545,0.545,7,9,0.778,0,10,10,4,2,0,1,4,31,24.0,0
26,539,28,2024-12-21,2114,1,60612,W 123-98,*,35:31,16,24,0.667,9,15,0.6,7,9,0.778,0.854,2,2,1.0,1,14,15,10,0,0,4,2,43,39.7,13
27,540,30,2024-12-25,2114,0,19148,L 114-118,*,41:51,11,20,0.55,4,8,0.5,7,12,0.583,0.65,6,7,0.857,2,13,15,4,1,1,3,2,32,28.0,5
28,541,31,2024-12-27,2114,0,46225,W 142-105,*,31:39,7,15,0.467,3,10,0.3,4,5,0.8,0.567,5,6,0.833,1,12,13,4,3,0,1,2,22,22.2,21
